author	year	paper_id	bee_id	bee_genus	bee_species	top5position	controlled_for_contamination	genus	average_relative_abundance
Cohen	2020	1	1	Osmia	lignaria	Genus_67	Yes	Agromyces	0.0010050890
Cohen	2020	1	1	Osmia	lignaria	Genus_68	Yes	Pseudarthrobacter	0.0009989877
Cohen	2020	1	1	Osmia	lignaria	Genus_69	Yes	Gaiellales_unclassified	0.0009927607
Cohen	2020	1	1	Osmia	lignaria	Genus_70	Yes	Pedobacter	0.0009911779
Cohen	2020	1	1	Osmia	lignaria	Genus_71	Yes	Iamia	0.0009871718
Cohen	2020	1	1	Osmia	lignaria	Genus_72	Yes	Curtobacterium	0.0009865583
Cohen	2020	1	1	Osmia	lignaria	Genus_73	Yes	Altererythrobacter	0.0009864601
Cohen	2020	1	1	Osmia	lignaria	Genus_74	Yes	Gilliamella	0.0009735491
Cohen	2020	1	1	Osmia	lignaria	Genus_75	Yes	Arenimonas	0.0009653773
Cohen	2020	1	1	Osmia	lignaria	Genus_76	Yes	Kineococcus	0.0009608160
Cohen	2020	1	1	Osmia	lignaria	Genus_77	Yes	Fictibacillus	0.0009557362
Cohen	2020	1	1	Osmia	lignaria	Genus_78	Yes	Ferruginibacter	0.0008844693
Cohen	2020	1	1	Osmia	lignaria	Genus_79	Yes	Kocuria	0.0008819172
Cohen	2020	1	1	Osmia	lignaria	Genus_80	Yes	Actinomycetospora	0.0008780736
Cohen	2020	1	1	Osmia	lignaria	Genus_81	Yes	Lactococcus	0.0008661319
Cohen	2020	1	1	Osmia	lignaria	Genus_82	Yes	Chitinophagaceae_unclassified	0.0008273067
Cohen	2020	1	1	Osmia	lignaria	Genus_83	Yes	Frondihabitans	0.0008208006
Cohen	2020	1	1	Osmia	lignaria	Genus_84	Yes	Nocardiaceae_unclassified	0.0008178466
Cohen	2020	1	1	Osmia	lignaria	Genus_85	Yes	Frigoribacterium	0.0008169816
Cohen	2020	1	1	Osmia	lignaria	Genus_86	Yes	Pseudorhodobacter	0.0008011258
Cohen	2020	1	1	Osmia	lignaria	Genus_87	Yes	Gaiella	0.0007876840
Cohen	2020	1	1	Osmia	lignaria	Genus_88	Yes	Enhydrobacter	0.0007835552
Cohen	2020	1	1	Osmia	lignaria	Genus_89	Yes	Terrabacter	0.0007728098
Cohen	2020	1	1	Osmia	lignaria	Genus_90	Yes	Pedomicrobium	0.0007525521
Cohen	2020	1	1	Osmia	lignaria	Genus_91	Yes	Lysobacter	0.0007439939
Cohen	2020	1	1	Osmia	lignaria	Genus_92	Yes	Microbacteriaceae_unclassified	0.0007187945
Cohen	2020	1	1	Osmia	lignaria	Genus_93	Yes	Granulicatella	0.0007130460
Cohen	2020	1	1	Osmia	lignaria	Genus_94	Yes	Orbaceae_unclassified	0.0007122883
Cohen	2020	1	1	Osmia	lignaria	Genus_95	Yes	Saccharimonadales_unclassified	0.0007101718
Cohen	2020	1	1	Osmia	lignaria	Genus_96	Yes	Devosia	0.0007032699
Cohen	2020	1	1	Osmia	lignaria	Genus_97	Yes	Steroidobacter	0.0006897791
Cohen	2020	1	1	Osmia	lignaria	Genus_98	Yes	Commensalibacter	0.0006869387
Cohen	2020	1	1	Osmia	lignaria	Genus_99	Yes	Subgroup 7_unclassified	0.0006731503
Cohen	2020	1	1	Osmia	lignaria	Genus_100	Yes	Aquabacterium	0.0006638681
Cohen	2020	1	1	Osmia	lignaria	Genus_101	Yes	Sphingomonadaceae_unclassified	0.0006624049
Cohen	2020	1	1	Osmia	lignaria	Genus_102	Yes	Gemmatimonas	0.0006427362
Cohen	2020	1	1	Osmia	lignaria	Genus_103	Yes	Dongia	0.0006426994
Cohen	2020	1	1	Osmia	lignaria	Genus_104	Yes	Asaia	0.0006161012
Cohen	2020	1	1	Osmia	lignaria	Genus_105	Yes	Haliangium	0.0006101227
Cohen	2020	1	1	Osmia	lignaria	Genus_106	Yes	Roseomonas	0.0006078712
Cohen	2020	1	1	Osmia	lignaria	Genus_107	Yes	Chryseolinea	0.0006023374
Cohen	2020	1	1	Osmia	lignaria	Genus_108	Yes	Nakamurella	0.0006002025
Cohen	2020	1	1	Osmia	lignaria	Genus_109	Yes	Polaromonas	0.0005991043
Cohen	2020	1	1	Osmia	lignaria	Genus_110	Yes	Thiobacillus	0.0005955736
Cohen	2020	1	1	Osmia	lignaria	Genus_111	Yes	Rubrobacter	0.0005799693
Cohen	2020	1	1	Osmia	lignaria	Genus_112	Yes	Rhodobacteraceae_unclassified	0.0005659847
Cohen	2020	1	1	Osmia	lignaria	Genus_113	Yes	PLTA13_unclassified	0.0005657086
Cohen	2020	1	1	Osmia	lignaria	Genus_114	Yes	Sphingobacteriaceae_unclassified	0.0005583190
Cohen	2020	1	1	Osmia	lignaria	Genus_115	Yes	uncultured Chloroflexi bacterium	0.0005535644
Cohen	2020	1	1	Osmia	lignaria	Genus_116	Yes	Delftia	0.0005534448
Cohen	2020	1	1	Osmia	lignaria	Genus_117	Yes	Bryobacter	0.0005256656
Cohen	2020	1	1	Osmia	lignaria	Genus_118	Yes	Reyranella	0.0005225092
Cohen	2020	1	1	Osmia	lignaria	Genus_119	Yes	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0.0005223313
Cohen	2020	1	1	Osmia	lignaria	Genus_120	Yes	Adhaeribacter	0.0005151012
Cohen	2020	1	1	Osmia	lignaria	Genus_121	Yes	Segetibacter	0.0005122853
Cohen	2020	1	1	Osmia	lignaria	Genus_122	Yes	Mesorhizobium	0.0005104601
Cohen	2020	1	1	Osmia	lignaria	Genus_123	Yes	Pedosphaeraceae_unclassified	0.0005103681
Cohen	2020	1	1	Osmia	lignaria	Genus_124	Yes	Ornithinimicrobium	0.0005059816
Cohen	2020	1	1	Osmia	lignaria	Genus_125	Yes	Geobacter	0.0005025613
Cohen	2020	1	1	Osmia	lignaria	Genus_126	Yes	Xanthobacteraceae_unclassified	0.0005006994
Cohen	2020	1	1	Osmia	lignaria	Genus_127	Yes	Acidothermus	0.0004956994
Cohen	2020	1	1	Osmia	lignaria	Genus_128	Yes	Micromonosporaceae_unclassified	0.0004956933
Cohen	2020	1	1	Osmia	lignaria	Genus_129	Yes	Phycicoccus	0.0004931442
Cohen	2020	1	1	Osmia	lignaria	Genus_130	Yes	Desulfuromonas	0.0004778650
Cohen	2020	1	1	Osmia	lignaria	Genus_131	Yes	Panacagrimonas	0.0004722178
Cohen	2020	1	1	Osmia	lignaria	Genus_132	Yes	Duganella	0.0004586718
Cohen	2020	1	1	Osmia	lignaria	Genus_133	Yes	Pseudolabrys	0.0004535552
Cohen	2020	1	1	Osmia	lignaria	Genus_134	Yes	bacteriap2_unclassified	0.0004488896
Cohen	2020	1	1	Osmia	lignaria	Genus_135	Yes	Mucilaginibacter	0.0004477883
Cohen	2020	1	1	Osmia	lignaria	Genus_136	Yes	Amnibacterium	0.0004465644
Cohen	2020	1	1	Osmia	lignaria	Genus_137	Yes	Corynebacterium 1	0.0004401135
Cohen	2020	1	1	Osmia	lignaria	Genus_138	Yes	IS-44	0.0004357485
Cohen	2020	1	1	Osmia	lignaria	Genus_139	Yes	env.OPS 17_unclassified	0.0004339417
Cohen	2020	1	1	Osmia	lignaria	Genus_140	Yes	Ramlibacter	0.0004315828
Cohen	2020	1	1	Osmia	lignaria	Genus_141	Yes	A21b_unclassified	0.0004286810
Cohen	2020	1	1	Osmia	lignaria	Genus_142	Yes	Bifidobacterium	0.0004181564
Cohen	2020	1	1	Osmia	lignaria	Genus_143	Yes	Aureimonas	0.0004164509
Cohen	2020	1	1	Osmia	lignaria	Genus_144	Yes	Paenibacillus	0.0003893436
Cohen	2020	1	1	Osmia	lignaria	Genus_145	Yes	Truepera	0.0003760675
Cohen	2020	1	1	Osmia	lignaria	Genus_146	Yes	OLB12	0.0003742178
Cohen	2020	1	1	Osmia	lignaria	Genus_147	Yes	Lautropia	0.0003726012
